,ID,Gender,DOB,Lead_Creation_Date,City_Code,City_Category,Employer_Code,Employer_Category1,Employer_Category2,Monthly_Income,Customer_Existing_Primary_Bank_Code,Primary_Bank_Type,Contacted,Source,Source_Category,Existing_EMI,Loan_Amount,Loan_Period,Interest_Rate,EMI,Var1,Scores
10,APPK30106042233,Male,03/07/90,01/07/16,C10002,A,COM0000026,B,3.0,1700.0,B001,P,Y,S133,C,0.0,39000.0,5.0,18.5,1001.0,2,0.00
11,APPL40962417345,Female,17/11/86,01/07/16,C10079,C,COM0006632,A,4.0,2480.0,B028,P,N,S159,B,0.0,0.0,0.0,0.0,0.0,4,2.47
12,APPM90265624408,Female,13/01/97,01/07/16,C10008,A,COM0007826,A,4.0,1000.0,B032,G,N,S133,B,250.0,0.0,0.0,0.0,0.0,0,0.00
13,APPN80816878501,Male,15/01/91,01/07/16,C10024,A,COM0001300,B,4.0,2560.0,B002,P,Y,S133,B,0.0,20000.0,5.0,16.8,494.0,7,1.44
14,APPO80036467625,Female,01/11/88,01/07/16,C10001,A,COM0030820,A,4.0,1050.0,B001,P,N,S122,B,250.0,0.0,0.0,0.0,0.0,0,0.00
15,APPP70300016724,Male,23/01/88,01/07/16,C10003,A,COM0035692,B,4.0,3000.0,B001,P,Y,S134,B,600.0,30000.0,3.0,16.8,825.0,7,1.80
16,APPQ20714935844,Female,09/04/80,01/07/16,C10001,A,COM0011706,A,4.0,10000.0,B003,G,N,S133,B,4100.0,0.0,0.0,0.0,0.0,0,1.47
17,APPR10725816917,Male,21/06/89,01/07/16,C10015,C,COM0000367,A,4.0,2960.0,B024,G,Y,S133,C,0.0,44000.0,5.0,14.0,1024.0,4,0.96
18,APPT80995817106,Female,28/09/88,01/07/16,C10002,A,COM0036114,C,4.0,1500.0,B012,G,N,S133,C,0.0,0.0,0.0,0.0,0.0,0,0.00
19,APPU10455032232,Male,16/08/92,01/07/16,C10001,A,COM0000300,A,4.0,2000.0,B001,P,Y,S122,B,0.0,10000.0,2.0,22.9,412.5,4,0.13
20,APPV20523998348,Female,15/08/76,01/07/16,C10125,C,COM0001187,C,4.0,1019.0,B013,G,N,S133,E,0.0,0.0,0.0,0.0,0.0,0,0.00
21,APPW70096327441,Female,29/08/85,01/07/16,C10035,C,COM0000017,C,1.0,1268.0,B001,P,Y,S151,B,188.0,13000.0,5.0,13.0,296.0,2,0.00
22,APPX50146048546,Male,03/10/85,01/07/16,C10010,A,COM0000577,A,4.0,3000.0,B013,G,Y,S133,C,0.0,45000.0,5.0,31.0,1484.0,4,0.08
23,APPY80200205609,Male,11/09/84,01/07/16,C10027,A,COM0001142,B,4.0,2060.0,B002,P,Y,S133,B,0.0,10000.0,1.0,20.8,825.0,4,0.39
24,APPZ70268239711,Female,11/09/88,01/07/16,C10002,A,COM0051287,B,4.0,6500.0,B002,P,N,S133,B,1000.0,0.0,0.0,0.0,0.0,10,3.15
25,APPB10908859928,Male,08/08/86,01/07/16,C10001,A,COM0000007,C,1.0,2400.0,B002,P,Y,S133,B,0.0,20000.0,4.0,18.4,412.5,4,0.42
28,APPE40974536227,Female,02/06/93,01/07/16,C10003,A,COM0000259,B,4.0,1600.0,B006,P,N,S159,C,0.0,0.0,0.0,0.0,0.0,0,0.00
29,APPF80212605331,Female,05/03/76,01/07/16,C10015,C,COM0000986,A,4.0,3000.0,B010,G,Y,S133,E,0.0,50000.0,5.0,20.0,1325.0,7,0.83
30,APPG70118514422,Male,01/08/60,01/07/16,C10467,C,COM0000729,C,4.0,5600.0,B007,G,Y,S159,B,1300.0,98000.0,5.0,14.7,1617.0,7,1.96
31,APPH60330147508,Female,01/09/87,01/07/16,C10034,C,COM0031208,A,4.0,1200.0,B007,G,N,S133,B,280.0,0.0,0.0,0.0,0.0,0,0.00
32,APPI70857836611,Male,29/01/92,01/07/16,C10002,A,COM0000008,A,1.0,2450.0,B001,P,Y,S133,B,0.0,50000.0,5.0,14.7,825.0,4,1.00
33,APPL20333186904,Male,20/07/86,01/07/16,C10003,A,COM0000350,B,4.0,5200.0,B004,P,Y,S123,B,0.0,100000.0,5.0,15.8,1650.0,10,2.14
35,APPN30606238135,Female,06/11/80,01/07/16,C10007,A,COM0040866,B,4.0,3800.0,B004,P,N,S133,E,600.0,0.0,0.0,0.0,0.0,10,0.31
36,APPQ60782014415,Female,17/02/85,01/07/16,C10001,A,COM0048898,A,4.0,10000.0,B001,P,N,S133,E,200.0,0.0,0.0,0.0,0.0,10,0.63
37,APPT80140966721,Female,17/02/81,01/07/16,C10012,A,COM0000713,B,4.0,2850.0,B002,P,Y,S133,C,0.0,46000.0,5.0,16.8,1137.0,7,0.78
38,APPU80930365832,Female,11/09/93,01/07/16,C10030,B,COM0047346,A,4.0,1300.0,B020,G,N,S133,B,600.0,0.0,0.0,0.0,0.0,0,0.00
40,APPW90476067036,Female,24/04/70,01/07/16,C10005,A,COM0035361,A,4.0,1000.0,B001,P,N,S133,E,200.0,0.0,0.0,0.0,0.0,0,0.00
41,APPX90531514107,Male,03/06/87,01/07/16,C10028,C,COM0003242,A,4.0,3000.0,B003,G,Y,S133,C,0.0,45000.0,5.0,15.5,1082.0,7,0.34
42,APPY80613652222,Male,04/11/91,01/07/16,C10004,A,COM0000029,B,3.0,3500.0,B001,P,Y,S133,B,0.0,45000.0,5.0,17.0,1118.0,10,1.66
43,APPA60775566448,Female,08/09/84,01/07/16,C10017,B,COM0000812,C,4.0,3400.0,B006,P,N,S133,B,1700.0,0.0,0.0,0.0,0.0,0,0.89
44,APPC70771774625,Male,16/07/82,01/07/16,C10258,C,COM0006394,C,4.0,3800.0,B003,G,Y,S122,B,300.0,10000.0,3.0,15.5,349.0,7,2.61
45,APPF80168055929,Male,15/05/64,01/07/16,C10007,A,COM0009066,C,4.0,2400.0,B036,G,Y,S143,B,0.0,30000.0,4.0,20.0,913.0,4,0.37
46,APPG50757073027,Male,05/05/86,01/07/16,C10048,C,COM0008802,A,4.0,4200.0,B030,P,Y,S133,B,0.0,50000.0,5.0,16.1,825.0,10,3.74
47,APPH30859115106,Male,02/08/85,01/07/16,C10033,C,COM0000016,A,1.0,2000.0,B003,G,Y,S133,F,0.0,29000.0,5.0,17.6,478.5,4,0.11
48,APPJ10885387332,Female,22/10/85,01/07/16,C10003,A,COM0000017,C,1.0,6500.0,B001,P,N,S133,B,0.0,0.0,0.0,0.0,0.0,10,1.47
49,APPK40949346408,Male,27/05/82,01/07/16,C10001,A,COM0002621,A,4.0,2700.0,B001,P,Y,S133,B,459.0,10000.0,4.0,18.6,206.2,7,1.74
50,APPL60776142522,Male,15/05/88,02/07/16,C10003,A,COM0028351,B,4.0,291666.3,B002,P,Y,S133,B,7060.0,100000.0,5.0,14.8,2371.0,10,2.88
51,APPN50729023734,Male,25/01/94,02/07/16,C10023,B,COM0002582,A,4.0,1500.0,B009,G,Y,S122,F,0.0,33000.0,5.0,20.0,874.0,2,0.04
52,APPP70407207923,Female,04/09/91,02/07/16,C10003,A,COM0015076,B,4.0,4620.0,B002,P,N,S133,B,2800.0,0.0,0.0,0.0,0.0,0,1.48
53,APPR40227782118,Male,17/11/75,02/07/16,C10001,A,COM0000540,C,4.0,9350.0,B002,P,Y,S133,E,3400.0,10000.0,3.0,14.8,346.0,10,4.19
54,APPV80504514517,Male,19/10/89,02/07/16,C10008,A,COM0057148,C,4.0,2100.0,B002,P,Y,S133,C,0.0,30000.0,5.0,19.5,495.0,4,0.84
55,APPW80566048613,Male,12/11/95,02/07/16,C10008,A,COM0046291,A,4.0,1600.0,B004,P,Y,S133,C,0.0,36000.0,5.0,19.9,594.0,2,0.01
56,APPX80187469727,Female,25/07/84,02/07/16,C10005,A,COM0008704,A,4.0,2120.0,B001,P,Y,S133,B,0.0,20000.0,3.0,20.0,743.0,4,0.78
57,APPZ30260508907,Female,12/04/94,02/07/16,C10002,A,COM0001319,A,4.0,2480.0,B006,P,N,S133,B,0.0,0.0,0.0,0.0,0.0,4,2.02
58,APPA50518171015,Female,05/06/84,02/07/16,C10003,A,COM0003290,C,4.0,5500.0,B001,P,N,S143,B,2380.0,0.0,0.0,0.0,0.0,0,14.30
59,APPB40882474103,Female,08/03/86,02/07/16,C10127,C,COM0007938,B,4.0,1902.4,B001,P,N,S122,B,997.2,0.0,0.0,0.0,0.0,0,0.51
60,APPC60427976226,Male,13/06/81,02/07/16,C10004,A,COM0001683,A,4.0,3800.0,B022,G,Y,S133,F,0.0,66000.0,5.0,17.0,1640.0,7,0.51
61,APPD90513037337,Male,07/05/86,02/07/16,C10001,A,COM0001540,B,4.0,3300.0,B001,P,Y,S133,B,0.0,10000.0,3.0,16.4,275.0,10,2.54
62,APPG50800243623,Female,09/01/73,02/07/16,C10002,A,COM0002025,A,4.0,5600.0,B014,P,Y,S133,B,885.0,100000.0,5.0,13.5,2300.0,10,0.77
63,APPH10433332748,Male,18/02/71,02/07/16,C10002,A,COM0000099,A,1.0,2800.0,B003,G,Y,S133,F,0.0,42000.0,5.0,19.0,1090.0,4,0.15
64,APPI40348921805,Male,11/09/95,02/07/16,C10006,A,COM0000777,A,4.0,3000.0,B006,P,Y,S133,B,0.0,50000.0,5.0,20.0,1325.0,7,1.15
65,APPJ80439618906,Female,18/06/96,02/07/16,C10124,C,COM0007680,C,4.0,1500.0,B003,G,N,S122,B,300.0,0.0,0.0,0.0,0.0,0,0.00
66,APPK30634359001,Female,14/07/91,02/07/16,C10004,A,COM0000007,C,1.0,1250.0,B002,P,N,S122,C,0.0,0.0,0.0,0.0,0.0,0,0.00
67,APPL40047305118,Male,02/06/87,02/07/16,C10007,A,COM0000164,B,4.0,5600.0,B002,P,Y,S133,E,1200.0,30000.0,2.0,16.0,1237.5,10,2.33
69,APPN20760216327,Male,01/08/91,02/07/16,C10003,A,COM0000843,A,4.0,2500.0,B006,P,Y,S122,C,0.0,36000.0,5.0,19.8,594.0,4,0.29
70,APPO10519239445,Female,02/07/80,02/07/16,C10001,A,COM0004453,C,4.0,2400.0,B008,G,N,S133,B,0.0,0.0,0.0,0.0,0.0,4,0.87
71,APPP70822536506,Male,02/06/93,02/07/16,C10009,B,COM0005479,A,4.0,2400.0,B003,G,Y,S133,C,0.0,35000.0,5.0,21.6,577.5,4,0.11
72,APPQ10182368643,Male,26/11/88,02/07/16,C10003,A,COM0011545,C,4.0,2000.0,B001,P,Y,S134,C,0.0,29000.0,5.0,16.8,717.0,4,0.93
73,APPR30764178704,Female,01/09/87,02/07/16,C10589,C,COM0004317,A,4.0,2000.0,B003,G,N,S133,B,1500.0,0.0,0.0,0.0,0.0,0,0.07
74,APPS60446465843,Female,01/08/54,02/07/16,C10082,C,COM0030594,A,4.0,10000.0,B010,G,N,S133,B,0.0,0.0,0.0,0.0,0.0,0,0.56
75,APPT20264132924,Male,16/04/93,02/07/16,C10008,A,COM0017017,B,4.0,1500.0,B002,P,Y,S159,C,0.0,33000.0,5.0,20.0,874.0,2,0.02
76,APPV90184745108,Male,13/04/94,02/07/16,C10002,A,COM0006824,C,4.0,3900.0,B003,G,Y,S122,B,0.0,100000.0,5.0,14.1,1650.0,7,0.82
77,APPX70050373318,Female,19/01/91,02/07/16,C10006,A,COM0036379,A,4.0,1220.0,B004,P,N,S133,F,0.0,0.0,0.0,0.0,0.0,0,0.00
78,APPY80240353432,Male,12/10/57,02/07/16,C10046,C,COM0036502,C,4.0,7500.0,B014,P,Y,S133,B,0.0,100000.0,4.0,14.0,2062.5,7,3.76
79,APPZ80848953507,Female,10/08/93,02/07/16,C10003,A,COM0021100,A,4.0,4000.0,B038,P,N,S133,B,0.0,0.0,0.0,0.0,0.0,10,2.29
80,APPD10500401933,Male,18/01/88,02/07/16,C10007,A,COM0000002,C,1.0,2000.0,B004,P,Y,S143,B,150.0,10000.0,5.0,16.6,165.0,4,0.59
81,APPE10200701029,Male,13/06/82,02/07/16,C10004,A,COM0004577,B,4.0,5400.0,B001,P,Y,S137,B,0.0,50000.0,4.0,14.8,1388.0,10,5.03
82,APPF90094523116,Male,10/07/86,02/07/16,C10002,A,COM0053458,C,4.0,2200.0,B004,P,Y,S133,E,590.0,10000.0,3.0,19.5,275.0,4,0.38
83,APPG60519369247,Male,11/07/76,02/07/16,C10002,A,COM0000002,C,1.0,8000.0,B001,P,Y,S133,B,0.0,20000.0,5.0,14.8,330.0,10,1.64
85,APPI10312387415,Female,10/12/84,02/07/16,C10034,C,COM0014791,B,4.0,3000.0,B003,G,Y,S133,B,600.0,30000.0,3.0,16.8,825.0,7,0.70
86,APPJ20310967521,Male,19/09/71,02/07/16,C10001,A,COM0025535,C,4.0,2050.0,B013,G,Y,S134,B,0.0,10000.0,5.0,20.0,265.0,4,0.70
87,APPK80886344639,Female,03/05/90,02/07/16,C10002,A,COM0004137,B,4.0,2100.0,B001,P,N,S133,B,0.0,0.0,0.0,0.0,0.0,4,1.46
88,APPM60863037811,Male,10/10/92,02/07/16,C10001,A,COM0002924,C,4.0,3500.0,B002,P,Y,S133,B,0.0,6000.0,1.0,14.8,541.0,10,2.40
89,APPN50560289924,Female,25/04/90,02/07/16,C10002,A,COM0001023,B,4.0,4700.0,B002,P,N,S122,B,0.0,0.0,0.0,0.0,0.0,10,3.09
90,APPO70832217022,Male,11/01/89,02/07/16,C10002,A,COM0000042,C,3.0,2550.0,B001,P,Y,S133,B,0.0,20000.0,5.0,15.5,481.0,10,1.25
91,APPP60583131103,Female,01/09/77,02/07/16,C10003,A,COM0000196,C,4.0,7000.0,B004,P,N,S133,B,4541.2,0.0,0.0,0.0,0.0,0,1.63
92,APPR30748409317,Male,04/05/90,02/07/16,C10002,A,COM0045780,A,4.0,2500.0,B012,G,Y,S133,B,0.0,30000.0,5.0,18.2,495.0,7,0.79
93,APPS10305693407,Female,07/07/86,02/07/16,C10005,A,COM0000030,B,3.0,1750.0,B002,P,N,S133,C,0.0,0.0,0.0,0.0,0.0,0,0.02
95,APPU80979985636,Male,17/10/58,02/07/16,C10003,A,COM0000409,A,4.0,3400.0,B003,G,Y,S133,C,0.0,53000.0,5.0,15.5,1275.0,4,1.89
96,APPW90127018832,Male,05/05/84,02/07/16,C10006,A,COM0000034,C,1.0,2350.0,B001,P,Y,S133,B,0.0,55000.0,5.0,18.2,1404.0,4,2.82
97,APPX40629447906,Male,14/03/86,02/07/16,C10002,A,COM0008233,A,4.0,9700.0,B003,G,Y,S133,B,3800.0,30000.0,3.0,15.5,825.0,10,6.52
98,APPZ20101292145,Male,08/09/86,02/07/16,C10010,A,COM0038654,A,4.0,2300.0,B001,P,Y,S122,F,0.0,33000.0,5.0,20.0,874.0,4,0.55
99,APPB10848417338,Male,09/06/90,02/07/16,C10001,A,COM0015371,B,4.0,2015.3,B002,P,Y,S133,B,621.0,15000.0,4.0,20.0,456.0,4,0.56
100,APPC40239663433,Male,02/03/82,02/07/16,C10002,A,COM0002156,B,4.0,2300.0,B003,G,Y,S133,C,0.0,33000.0,5.0,16.8,816.0,4,2.37
101,APPD20097051518,Male,18/02/87,02/07/16,C10010,A,COM0000326,C,4.0,8095.5,B005,P,Y,S133,C,0.0,120000.0,4.0,15.8,3385.0,7,3.58
102,APPE50963262622,Female,04/07/90,02/07/16,C10002,A,COM0000553,C,4.0,2800.0,B002,P,N,S133,B,0.0,0.0,0.0,0.0,0.0,10,1.50
103,APPF90075697702,Male,26/06/82,02/07/16,C10048,C,COM0001173,C,4.0,5400.0,B003,G,Y,S133,B,1500.0,10000.0,3.0,16.8,275.0,10,2.65
104,APPH10711077908,Male,01/06/88,02/07/16,C10003,A,COM0054582,A,4.0,2700.0,B001,P,Y,S133,B,0.0,20000.0,5.0,17.4,330.0,7,1.32
105,APPI90021288035,Female,20/10/96,02/07/16,C10004,A,COM0027743,A,4.0,1380.0,B003,G,N,S133,F,0.0,0.0,0.0,0.0,0.0,0,0.00
106,APPJ80748148121,Female,23/09/91,02/07/16,C10002,A,COM0054381,C,4.0,1500.0,B030,P,N,S133,C,0.0,0.0,0.0,0.0,0.0,0,0.00
107,APPK10288641218,Male,01/08/82,02/07/16,C10004,A,COM0000009,A,1.0,3450.0,B017,G,Y,S153,C,0.0,48000.0,4.0,19.0,1435.0,4,1.46
108,APPL90732086337,Male,09/12/89,03/07/16,C10006,A,COM0015110,A,4.0,2000.0,B003,G,Y,S159,C,0.0,29000.0,5.0,20.0,768.0,4,0.16
109,APPM70990842401,Male,25/07/80,03/07/16,C10002,A,COM0000026,B,3.0,2100.0,B001,P,Y,S133,B,780.0,10000.0,3.0,18.2,363.0,2,2.77
110,APPN80617857512,Female,07/06/94,03/07/16,C10004,A,COM0051440,B,4.0,1200.0,B001,P,N,S133,C,0.0,0.0,0.0,0.0,0.0,0,0.00
111,APPO50383745617,Female,11/03/87,03/07/16,C10005,A,COM0000098,C,3.0,1450.0,B002,P,N,S159,C,0.0,0.0,0.0,0.0,0.0,0,0.00
112,APPP60172178734,Female,02/08/86,03/07/16,C10016,B,COM0026324,A,4.0,819.3,B001,P,N,S133,C,0.0,0.0,0.0,0.0,0.0,0,0.00
113,APPR10764977942,Male,02/08/85,03/07/16,C10012,A,COM0000069,C,2.0,7500.0,B011,P,Y,S133,F,0.0,120000.0,5.0,13.5,2761.0,7,5.79
114,APPT10480648139,Male,01/03/84,03/07/16,C10029,C,COM0000805,B,4.0,25000.0,B003,G,Y,S133,C,0.0,120000.0,3.0,14.7,3300.0,4,0.25
115,APPU60453258232,Male,05/06/85,03/07/16,C10106,C,COM0005572,A,4.0,2950.0,B003,G,Y,S133,E,0.0,30000.0,5.0,17.7,495.0,7,0.90
116,APPX90855367529,Male,13/10/87,03/07/16,C10309,C,COM0001939,C,4.0,4200.0,B001,P,Y,S133,B,0.0,100000.0,5.0,17.0,2485.0,7,0.60
117,APPY50250927615,Female,04/12/61,03/07/16,C10004,A,COM0035867,B,4.0,1600.0,B013,G,N,S133,B,0.0,0.0,0.0,0.0,0.0,0,0.00
118,APPZ70422039734,Male,16/03/90,03/07/16,C10010,A,COM0006174,B,4.0,2369.4,B002,P,Y,S133,C,0.0,34000.0,5.0,19.8,561.0,4,2.60
119,APPA30393886847,Male,02/01/84,03/07/16,C10002,A,COM0001995,B,4.0,3500.0,B001,P,Y,S133,C,0.0,59000.0,5.0,17.0,1466.0,7,3.28
120,APPB50127764908,Male,20/01/85,03/07/16,C10009,B,COM0052411,A,4.0,1740.0,B008,G,Y,S133,C,0.0,39000.0,5.0,19.7,643.5,2,0.13
121,APPC10119469018,Male,02/05/91,03/07/16,C10003,A,COM0000002,C,1.0,2200.0,B001,P,Y,S133,C,0.0,34000.0,5.0,14.5,800.0,4,0.37
122,APPD90858748146,Female,19/10/90,03/07/16,C10005,A,COM0004040,A,4.0,1600.0,B002,P,N,S122,F,0.0,0.0,0.0,0.0,0.0,0,0.00
123,APPE30664988236,Male,03/06/89,03/07/16,C10014,B,COM0003034,B,4.0,11500.0,B001,P,Y,S133,C,0.0,120000.0,5.0,16.0,2918.0,4,0.69
124,APPF20625877301,Male,12/03/89,03/07/16,C10020,A,COM0044807,A,4.0,2800.0,B001,P,Y,S133,B,302.5,30000.0,4.0,15.5,843.0,7,1.33
125,APPH30151345509,Male,20/11/84,03/07/16,C10020,A,COM0006953,B,4.0,1860.0,B003,G,Y,S127,B,0.0,10000.0,3.0,20.0,372.0,2,0.03
126,APPI50441679612,Female,10/08/87,03/07/16,C10004,A,COM0036472,B,4.0,1550.0,B003,G,N,S144,B,0.0,0.0,0.0,0.0,0.0,0,0.00
127,APPJ30361269731,Male,01/10/81,03/07/16,C10196,B,COM0000521,C,4.0,5300.0,B002,P,Y,S133,E,0.0,30000.0,2.0,13.5,1433.0,7,0.92
130,APPN70012683119,Female,27/05/90,03/07/16,C10005,A,COM0000029,B,3.0,2500.0,B004,P,Y,S133,F,0.0,35000.0,4.0,16.8,1005.0,7,0.67
131,APPO90770468211,Male,23/04/82,03/07/16,C10005,A,COM0000279,B,4.0,3500.0,B001,P,Y,S133,C,0.0,54000.0,5.0,29.5,1731.0,4,0.07
132,APPP10156766334,Male,20/12/87,03/07/16,C10002,A,COM0000839,B,4.0,2500.0,B002,P,Y,S133,C,0.0,30000.0,3.0,18.6,825.0,7,2.79
133,APPQ40631778427,Female,28/11/93,03/07/16,C10129,C,COM0000077,B,3.0,1100.0,B001,P,N,S122,B,0.0,0.0,0.0,0.0,0.0,0,0.00
134,APPR70506299542,Male,14/11/67,03/07/16,C10002,A,COM0000666,C,4.0,4800.0,B012,G,Y,S133,C,0.0,85000.0,5.0,14.8,2011.0,7,5.60
135,APPS70665146644,Male,25/05/83,03/07/16,C10021,B,COM0000007,C,1.0,2966.1,B002,P,Y,S133,B,250.0,20000.0,5.0,14.8,330.0,10,2.53
136,APPT70349004743,Female,21/01/93,03/07/16,C10031,C,COM0000284,C,4.0,3000.0,B002,P,N,S133,B,0.0,0.0,0.0,0.0,0.0,7,1.31
137,APPU30993402848,Male,08/03/85,03/07/16,C10023,B,COM0055853,A,4.0,25000.0,B003,G,Y,S133,C,0.0,150000.0,5.0,15.2,2475.0,7,0.18
138,APPW20622431049,Female,01/09/81,03/07/16,C10018,C,COM0053021,A,4.0,700.0,B007,G,N,S133,B,0.0,0.0,0.0,0.0,0.0,0,0.00
139,APPY20361501233,Male,12/08/81,03/07/16,C10028,C,COM0021457,C,4.0,3840.0,B002,P,Y,S133,B,0.0,30000.0,2.0,16.6,1237.5,7,2.00
140,APPZ10238963306,Male,18/08/91,03/07/16,C10009,B,COM0043042,B,4.0,2600.0,B001,P,Y,S159,B,350.0,10000.0,3.0,14.8,346.0,10,3.03
142,APPB80692747529,Female,03/06/67,03/07/16,C10003,A,COM0000549,A,4.0,8000.0,B004,P,N,S133,B,4000.0,0.0,0.0,0.0,0.0,0,2.54
143,APPC30041629643,Female,14/09/91,03/07/16,C10021,B,COM0003587,B,4.0,1000.0,B004,P,N,S133,C,0.0,0.0,0.0,0.0,0.0,0,0.00
144,APPD30315929734,Male,02/12/85,04/07/16,C10009,B,COM0028293,A,4.0,3000.0,B004,P,Y,S133,C,0.0,58000.0,5.0,16.1,957.0,7,1.72
146,APPF50037929916,Male,20/08/85,04/07/16,C10003,A,COM0000064,C,2.0,3600.0,B002,P,Y,S122,F,0.0,52000.0,4.0,14.2,1428.0,7,7.69
147,APPG10834503041,Male,15/07/86,04/07/16,C10007,A,COM0000002,C,1.0,3500.0,B003,G,Y,S133,C,0.0,59000.0,5.0,13.0,1342.0,7,0.36
148,APPH40967627122,Male,20/06/90,04/07/16,C10003,A,COM0012506,B,4.0,3000.0,B014,P,Y,S133,C,0.0,45000.0,5.0,17.0,1118.0,7,1.64
149,APPI70312298206,Female,06/06/94,04/07/16,C10005,A,COM0001355,B,4.0,1200.0,B005,P,N,S143,C,0.0,0.0,0.0,0.0,0.0,0,0.00
150,APPJ70743728327,Male,02/05/84,04/07/16,C10097,C,COM0000565,C,4.0,2500.0,B033,G,Y,S143,B,370.0,17000.0,5.0,15.9,280.5,7,2.12
151,APPK30679331423,Male,03/03/73,04/07/16,C10003,A,COM0001809,A,4.0,6300.0,B025,G,Y,S133,B,0.0,80000.0,5.0,15.1,1320.0,10,1.18
152,APPL60294817522,Female,03/06/92,04/07/16,C10006,A,COM0013736,C,4.0,1300.0,B007,G,N,S159,C,0.0,0.0,0.0,0.0,0.0,0,0.00
153,APPM80605571641,Female,20/03/77,04/07/16,C10007,A,COM0013988,C,4.0,2000.0,B033,G,Y,S159,C,0.0,29000.0,5.0,32.5,983.0,4,0.02
154,APPO70732754849,Male,06/04/87,04/07/16,C10001,A,COM0007799,A,4.0,3000.0,B003,G,Y,S133,C,0.0,45000.0,5.0,18.9,742.5,4,0.27
155,APPR90083345128,Female,22/12/86,04/07/16,C10006,A,COM0013445,B,4.0,4000.0,B001,P,N,S143,B,2000.0,0.0,0.0,0.0,0.0,0,1.82
156,APPS40024724225,Female,31/08/84,04/07/16,C10002,A,COM0027860,A,4.0,1050.0,B009,G,N,S133,F,0.0,0.0,0.0,0.0,0.0,0,0.00
157,APPT10406402302,Male,13/03/91,04/07/16,C10005,A,COM0000020,A,1.0,5000.0,B001,P,Y,S122,B,1500.0,81000.0,5.0,14.6,1336.5,10,0.93
158,APPU60142311444,Male,11/12/83,04/07/16,C10010,A,COM0002246,C,4.0,3250.0,B008,G,Y,S133,E,0.0,97000.0,5.0,15.1,1600.5,10,0.04
159,APPX40155362702,Male,12/06/92,04/07/16,C10005,A,COM0000198,C,4.0,1848.0,B002,P,Y,S133,C,0.0,43000.0,5.0,18.5,709.5,2,0.04
160,APPY80690085843,Male,06/01/87,04/07/16,C10005,A,COM0002729,C,4.0,3000.0,B004,P,Y,S133,E,0.0,42000.0,5.0,15.5,1010.0,10,0.16
162,APPA30531058029,Male,24/01/81,04/07/16,C10004,A,COM0000161,C,4.0,8300.0,B002,P,Y,S133,B,2650.0,100000.0,5.0,14.0,2326.0,10,11.89
163,APPB80250096128,Male,08/09/90,04/07/16,C10006,A,COM0013488,B,4.0,1585.6,B006,P,Y,S133,B,0.0,20000.0,4.0,20.0,609.0,2,0.02
164,APPC40216184236,Female,08/08/94,04/07/16,C10164,C,COM0000435,C,4.0,3700.0,B002,P,N,S133,B,0.0,0.0,0.0,0.0,0.0,7,1.38
165,APPE30598585445,Male,22/01/89,04/07/16,C10003,A,COM0015259,B,4.0,2000.0,B024,G,Y,S133,C,0.0,29000.0,5.0,32.5,983.0,4,0.02
166,APPF10464165547,Female,08/03/93,04/07/16,C10001,A,COM0000570,B,4.0,1500.0,B002,P,N,S156,B,0.0,0.0,0.0,0.0,0.0,0,0.00
167,APPG20162638632,Female,12/03/75,04/07/16,C10003,A,COM0035735,B,4.0,6150.0,B002,P,N,S133,B,3300.0,0.0,0.0,0.0,0.0,0,1.94
